generic,exemplar
Tapeworms develop in intestines.,Tapeworms develop in intestines.
Box jellyfish rely on tentacles.,Box jellyfish rely on tentacles.
African elephants feed on plants.,"African elephants feed on african elephants feed on trees, shrubs, and herbs."
African elephants feed on plants.,African elephants feed on shrubs.
Arctic foxes live in burrows.,Arctic foxes live in dug out burrows.
Rats carry parasites.,Rats carry tapeworms.
Rats carry parasites.,Rats carry mites.
Chameleons have long tongues.,"Chameleons have a long, protruding tongue used for catching prey."
Black panthers have claws.,Black panthers have sharp claws on their front paws.
Black panthers have claws.,Black panthers have sharp claws on their paws.
Black panthers have claws.,Black panthers have sharp claws on their back paws.
House mice survive environments.,House mice survive outbuildings.
Porcupines have senses.,Porcupines have a sight.
Caterpillars feed during summer.,Caterpillars feed during a summer is a season.
Bullfrogs have throats.,Bullfrogs have a pharynx.
Porcupines detect potential predators.,Porcupines detect other animals that may prey on porcupines.
Porcupines detect potential predators.,Porcupines detect birds of prey.
Vertebrates has-part limbs.,Vertebrates has forelimbs.
Walruses have cm weight.,Walruses have a body mass.
Vertebrates grow tails.,Vertebrates grow a tail.
Vertebrates grow tails.,Vertebrates grow a tailbone.
Squirrels possess fur.,Squirrels possess a bushy tail.
Squirrels possess fur.,"Squirrels possess long, coarse guard hairs."
Monkeys have bellies.,Monkeys have a stomach.
Monkeys have bellies.,Monkeys have a belly.
Frogs have mouths.,Frogs have mouths used for eating food.
Frogs have mouths.,Frogs have mandibular.
Lynxes have excellent eyesights.,Lynxes have an excellent color vision.
Lynxes have excellent eyesights.,Lynxes have an excellent night vision.
Lynxes have excellent eyesights.,Lynxes have an excellent peripheral vision.
Nutrias eat vegetation.,Nutrias eat grasses.
Tapeworms parasitize hosts.,Tapeworms parasitize humans.
Mice have bellies.,Mice have a stomach.
Marmosets raise tails.,Marmosets raise tails in the air.
Gopher tortoises have hind legs.,Gopher tortoises have the gopher tortoise has two hind legs.
Gopher tortoises have hind legs.,Gopher tortoises have hind limbs.
Mountain gazelles live in habitats.,Mountain gazelles live in mountainous areas.
Horseflies bite humans.,Horseflies bite people.
Horseflies bite humans.,Horseflies bite humans.
Bats adapt to rainforests.,Bats adapt to a tropical rainforest.
Cougars prey on domestic cattle.,Cougars prey on a bovine.
Dolphins appear in sea.,Dolphins appear in the atlantic ocean.
Mice have mothers.,Mice have female mice have mothers.
Mice have mothers.,Mice have natural mothers.
Salamanders possess ribs.,Salamanders possess costal ribs.
Salamanders possess ribs.,Salamanders possess internal ribs.
Salamanders possess ribs.,Salamanders possess true ribs.
Giraffes have dark coats.,"Giraffes have giraffes can have many different types of ""dark coats""."
Gorillas sit in forests.,Gorillas sit in a rainforest.
Lion tamarins have teeth.,Lion tamarins have incisors.
Lion tamarins have teeth.,Lion tamarins have canines.
Bats have big ears and very good hearing.,Bats have large ears that are good at detecting sound.
Bats have big ears and very good hearing.,Bats have good hearing.
Bats have big ears and very good hearing.,Bats have large ears.
Chimpanzees have fingers.,Chimpanzees have fingers.
Batteries produce heat energy.,Batteries produce thermal energy.
Batteries produce heat energy.,Batteries produce thermal.
Mice have a pointed snout with long whiskers.,Mice have a mouse has a pointed snout with long whiskers.
Mice have a pointed snout with long whiskers.,Mice have a mouse has a long snout and whiskers.
Mice have a pointed snout with long whiskers.,Mice have a mouse has a long snout with a whisker.
Mice have a pointed snout with long whiskers.,Mice have a mouse has a pointed snout with whiskers.
Frogs have smooth skin.,Frogs have a smooth wet skin.
Frogs have smooth skin.,Frogs have a smooth.
Salamanders shed skin.,Salamanders shed an epidermis.
Salamanders shed skin.,Salamanders shed a skin.
Dolphins have blubber.,Dolphins have a thick blubber.
Gorillas live in groups.,Gorillas live in a territorial group.
Gray squirrels thrive in habitats.,Gray squirrels thrive in woodlands.
Gray squirrels thrive in habitats.,Gray squirrels thrive in rural areas.
Gray squirrels thrive in habitats.,Gray squirrels thrive in a forest.
Gray squirrels thrive in habitats.,Gray squirrels thrive in forests.
Wild cattle live in grassland.,A wild cattle live in grasslands.
Rabbits eat grass.,Rabbits eat leafy greens.
Rabbits eat grass.,Rabbits eat a rabbits eat a variety of different types of grass.
Rabbits eat grass.,Rabbits eat grasses in lawns.
Rabbits eat grass.,Rabbits eat wild grasses.
Rabbits eat grass.,Rabbits eat grass.
Squirrels feed on fruit.,Squirrels feed on berries.
Squirrels feed on fruit.,Squirrels feed on fruit.
Sumatran rhinoceroses have horns.,Sumatran rhinoceroses have two horns on their head.
Sumatran rhinoceroses have horns.,Sumatran rhinoceroses have two horns on the head.
Sumatran rhinoceroses have horns.,Sumatran rhinoceroses have a dorsal horn.
Tigers have eyes.,Tigers have a pupil.
Tigers have eyes.,Tigers have pupils.
Foxes have organs.,Foxes have an integumentary system.
Caterpillars eat foliage.,Caterpillars eat leaves of trees and shrubs.
Caterpillars eat foliage.,Caterpillars eat foliage of trees and shrubs.
Caterpillars eat foliage.,Caterpillars eat foliage of herbaceous plants.
Salamanders develop ability.,Salamanders develop extraordinary physical abilities.
Frogs have thin.,Frogs have a thin skin.
Frogs have thin.,Frogs have a thin body.
Frogs have thin.,Frogs have thin arms.
Bottlenose dolphins live in oceans.,Bottlenose dolphins live in the ocean.
African civets have teeth.,African civets have incisors.
African civets have teeth.,African civets have canines.
African civets have teeth.,African civets have molars.
Bats use echolocation.,Bats use active echolocation.
Rats eat food.,Rats eat leftovers.
Rats eat food.,Rats eat meat.
Opossums live in underground dens.,Opossums live in dens.
Foxes have ears.,Foxes have an auditory nerve.
Dolphins feed in water.,Dolphins feed in salt water.
Bottlenose dolphins live in water.,Bottlenose dolphins live in the open ocean.
Springboks have molars.,Springboks have molars.
Coyotes eat livestock.,Coyotes eat other small mammals.
Carbohydrates provide energy.,Carbohydrates provide physical energy for the body to use.
Carbohydrates provide energy.,Carbohydrates provide quick energy.
Carbohydrates provide energy.,Carbohydrates provide metabolic energy.
Carbohydrates provide energy.,Carbohydrates provide physical energy.
Water bears feed on the fluids of plant and animal cells.,Water bears feed on organic matter (plant or animal cells).
Asian elephants have toes.,Asian elephants have a toe.
Pheasants eat seedlings.,Pheasants eat seeds.
Pheasants eat seedlings.,Pheasants eat small seeds from plants.
Pheasants eat seedlings.,Pheasants eat small seeds.
Monkeys have sexual reproduction.,Monkeys have sexual reproduction.
Wallabies have dark brown fur.,Wallabies have dark brown fur.
Male walruses are sexually mature at about eight to ten years.,Male walruses are sexually mature at 10 years old.
Squirrels require oxygen.,Squirrels require oxygen to breathe.
Squirrels require oxygen.,Squirrels require oxygen that is in the air.
Squirrels require oxygen.,Squirrels require atmospheric oxygen.
Squirrels require oxygen.,Squirrels require an oxygen gas.
Humans undergo respiration.,Humans undergo an internal respiration.
Humans undergo respiration.,Humans undergo an external respiration.
Raccoons have front teeth.,Raccoons have incisors.
Raccoons have front teeth.,Raccoons have canines.
Otters live in rivers.,Otters live in rivers.
Otters live in rivers.,Otters live in streams.
Sloths have long claws.,"Sloths have long, sharp claws."
Sloths have long claws.,"Sloths have long, curved claws."
Honey badgers live in burrows.,Honey badgers live in burrows in the ground.
Honey badgers live in burrows.,Honey badgers live in burrows are tunnels that honey badgers live in.
Pigment absorbs red light.,A pigment absorbs a red light.
Salamanders retain tails.,Salamanders retain tail-like projections.
Salamanders retain tails.,Salamanders retain tail tubercles.
Bears eat food.,Bears eat other small animals.
Polar bears enter dens.,Polar bears enter a dens in the earth.
Frogs have toes.,Frogs have long toes.
Salamanders occur within forest habitats.,Salamanders occur within a coniferous forest.
Kangaroo rats emerge at nights.,Kangaroo rats emerge at kangaroo rats emerge at night.
Kangaroo rats emerge at nights.,Kangaroo rats emerge at night.
Kangaroo rats emerge at nights.,Kangaroo rats emerge at dusk.
Kangaroo rats emerge at nights.,Kangaroo rats emerge at a late night.
Coyotes have legs.,Coyotes have four legs.
Kangaroo rats have pouches.,Kangaroo rats have preputial pouches.
Coyotes have powerful jaws.,Coyotes have jaws that can open very wide.
Coyotes have powerful jaws.,Coyotes have jaws that are very strong.
Coyotes have powerful jaws.,Coyotes have strong jaw muscles.
Kangaroos eat vegetation.,Kangaroos eat shrubs.
Male gerbils have fur.,Male gerbils have gerbils have fur on their bodies.
Male gerbils have fur.,Male gerbils have downy fur-coarse fur- guard hairs.
Lynx have long.,A lynx have a long fur.
Rats eat fat diets.,Rats eat a high-fat diet.
Mice feed on grain.,Mice feed on cereal grains.
Zebras have eyesights.,Zebras have normal eyesight.
Aardvarks hide in burrows.,Aardvarks hide in aardvarks typically hide in burrows that they dig themselves.
Olive baboons have cheek pouches.,Olive baboons have internal cheek pouches.
Squirrels have vision.,Squirrels have an acute vision.
Squirrels have vision.,Squirrels have distance vision- can see objects far away;.
Squirrels resemble rats.,Squirrels resemble rats.
Female elephants carry fetuses.,Female elephants carry a fetus.
Female elephants carry fetuses.,Female elephants carry an embryo.
Gerbils attain maturity.,Gerbils attain a physical maturity.
Gerbils attain maturity.,Gerbils attain a mental maturity.
Asian elephants walk on feet.,Asian elephants walk on asian elephants walk on their toes.
Vertebrates have skin.,Vertebrates have an epidermis.
Foxes have exceptional eyesights.,Foxes have good peripheral vision.
Vertebrates have lungs.,Vertebrates have respiratory bronchioles.
Vertebrates have lungs.,Vertebrates have lungs.
Ferrets show fear.,Ferrets show fear of new objects/surroundings.
Deer have coats.,Deer have a coat of fur.
Female gerbils reach sexual maturity.,Female gerbils reach sexual maturity.
Elk live in habitats.,An elk live in a forest.
Lynxes have ring tails.,Lynxes have a ring of black fur around the tail.
Monkeys give birth to babies.,Monkeys give birth to live young.
Monkeys give birth to babies.,Monkeys give a monkey can give birth to a baby monkey.
Elk adapt to habitats.,An elk adapt to forested regions.
Elk adapt to habitats.,An elk adapt to a meadow.
Elk adapt to habitats.,An elk adapt to a forest.
Elk adapt to habitats.,An elk adapt to mountainous regions.
Tree kangaroos have tails.,Tree kangaroos have a bushy tail.
Tree kangaroos have tails.,Tree kangaroos have a long tail.
Opossums have teeth.,Opossums have incisors.
Opossums have teeth.,Opossums have canines.
Opossums have teeth.,Opossums have molars.
Anteaters have mouths.,Anteaters have a mouth.
Hedgehogs enter into hibernation.,Hedgehogs enter into a seasonal hibernation.
Hedgehogs enter into hibernation.,Hedgehogs enter into a true hibernation.
Hedgehogs enter into hibernation.,Hedgehogs enter into torpor.
Hedgehogs enter into hibernation.,Hedgehogs enter into a winter torpor.
Hedgehogs enter into hibernation.,Hedgehogs enter into a daily torpor.
Hedgehogs enter into hibernation.,Hedgehogs enter into a winter sleep.
Caterpillars go through metamorphosis.,Caterpillars go through a caterpillar goes through complete metamorphosis.
Gazelles live on grassland.,Gazelles live on a meadow.
Gazelles live on grassland.,Gazelles live on a grassland.
Gazelles live on grassland.,Gazelles live on grasslands near water.
Gazelles live on grassland.,Gazelles live on grasslands.
Mandrills have teeth.,"Mandrills have mandrills have incisors, canines, and molars."
Mandrills have teeth.,Mandrills have incisors.
Mandrills have teeth.,Mandrills have canines.
Meerkats have membranes.,Meerkats have mucous membranes.
Box jellyfish have tentacles.,Box jellyfish have tentacle-like appendages.
Box jellyfish have tentacles.,Box jellyfish have tentacle-like projections.
Box jellyfish have tentacles.,Box jellyfish have tentacles.
Box jellyfish have tentacles.,Box jellyfish have true tentacles.
Box jellyfish have tentacles.,Box jellyfish have appendages.
Dogs die at ages.,Dogs die at an old age.
Rabbits give birth to rabbits.,Rabbits give litters.
Caterpillars feed on weeds.,Caterpillars feed on noxious weeds.
Zebras have ears.,Zebras have pinnae (external ears).
Zebras have ears.,Zebras have external ears.
Dentigerous cysts are solitary.,Dentigerous cysts are dentigerous cysts are a type of solitary cyst.
Aardvarks eat insects.,Aardvarks eat beetles.
Young chimpanzees stay with mothers.,Young chimpanzees stay with a mother.
Young chimpanzees stay with mothers.,Young chimpanzees stay with nurturing mothers.
Bobcats have elliptical pupils.,Bobcats have some bobcats have elliptical pupils.
Antelopes adapt to conditions.,Antelopes adapt to weather.
Salamanders are inside streams.,Salamanders are inside a river.
Salamanders are inside streams.,Salamanders are inside rivers.
Salamanders are inside streams.,Salamanders are inside streams.
Persian buttercups grow from bulbs.,Persian buttercups grow from bulbs.
Frogs survive predation.,Frogs survive an animal predation.
Snow leopards have tails.,Snow leopards have a bushy tail.
Moles are brownish but they can be flesh colored.,Moles are brownish but they can also be flesh colored.
Leopard geckos eat bugs.,Leopard geckos eat arachnids.
Leopard geckos eat bugs.,Leopard geckos eat insects.
Squirrels shake tails.,Squirrels shake a tail-like object.
Squirrels shake tails.,Squirrels shake a tail.
Elephants feed on leaves.,Elephants feed on broad leaves from trees.
Bears survive habitats.,Bears survive a forest.
Elephants live in groups.,Elephants live in family groups.
Elephants live in groups.,Elephants live in a group.
Elephants live in groups.,Elephants live in mixed groups.
Spider monkeys feed on fruit.,"Spider monkeys feed on banana, apple, grape, orange, pineapple, mango, watermelon."
Spider monkeys feed on fruit.,Spider monkeys feed on fruit.
Bison thrive in habitats.,"A bison thrive in grasslands, woodlands, meadows, plains, mountains."
Bison thrive in habitats.,A bison thrive in rangelands.
Bison thrive in habitats.,A bison thrive in prairies.
Honey badgers survive in habitats.,Honey badgers survive in a forest.
Honey badgers survive in habitats.,Honey badgers survive in woodlands.
Walruses have teeth.,"Walruses have walruses have incisors, canines, and molars."
Walruses have teeth.,Walruses have molars.
Walruses have teeth.,Walruses have canines.
Wolves live on food.,Wolves live on meat.
Gorillas have teeth.,Gorillas have incisors.
Gorillas have teeth.,Gorillas have molars.
Gorillas have teeth.,Gorillas have canines.
Salamanders can regenerate their limbs.,Salamanders are able to regrow a lost limb.
Salamanders can regenerate their limbs.,Salamanders are able to regenerate their limbs.
Coyotes eat rodents.,Coyotes eat mice.
Coyotes eat rodents.,Coyotes eat rats.
Humans alter natural habitats.,Humans alter a forest.
Humans alter natural habitats.,Humans alter rural landscapes.
Tree frogs find shelter in the trees.,Tree frogs find under the bark of a tree.
Armadillos feed on termites.,Armadillos feed on subterranean termites.
Shrews have brown fur.,Shrews have a brown fur on the back.
Shrews have brown fur.,Shrews have brown fur on the dorsal surface.
Pacific walruses live in sea.,Pacific walruses live in pacific walruses live in the pacific ocean.
Pacific walruses live in sea.,Pacific walruses live in the sea.
Pacific walruses live in sea.,Pacific walruses live in the ocean.
Western gorillas live at zoos.,Western gorillas live at zoos.
Western gorillas live at zoos.,Western gorillas live at zoological parks.
Monk seals have big eyes.,Monk seals have great eyes-large eyes-huge eyes-enormous eyes.
Monk seals have big eyes.,Monk seals have large eyes.
Monk seals have big eyes.,Monk seals have great eyes.
Monk seals have big eyes.,Monk seals have distinctive eyes.
Cats feed on fish.,Cats feed on small fish.
Cats feed on fish.,Cats feed on fish.
Human milk contains lactose.,A human milk contains lactose.
Oxygen is produced by plankton in the sea.,An Oxygen is produced by phytoplankton.
Oxygen is produced by plankton in the sea.,An Oxygen is produced by plankton.
Guinea pigs have membranes.,Guinea pigs have mucous membranes.
Respiration requires oxygen.,A respiration requires oxygen from the air.
Respiration requires oxygen.,A respiration requires o2 from the air.
Respiration requires oxygen.,A respiration requires an oxygen gas.
Respiration requires oxygen.,A respiration requires oxygen atoms.
Jaguars live in central and south america.,Jaguars live in central and south america.
Jaguars live in central and south america.,Jaguars live in central america.
Humans eat plants.,Humans eat vegetables.
Rats have coats.,Rats have a heat-conserving coat.
Rats have coats.,Rats have a pelage coat.
Chimpanzees share ancestors.,Chimpanzees share chimpanzees share a common ancestor with humans.
Peroxide reacts with compounds.,A peroxide reacts with inorganic compounds.
Peroxide reacts with compounds.,A peroxide reacts with organic compounds.
Sheep live in meadows.,Sheep live in a grassland meadow.
Monkeys have sharp teeth.,Monkeys have sharp incisors.
Monkeys have sharp teeth.,Monkeys have incisors.
Monkeys have sharp teeth.,Monkeys have canines.
Monkeys have sharp teeth.,Monkeys have sharp canines.
Monkeys have sharp teeth.,Monkeys have molars.
Monkeys have sharp teeth.,Monkeys have sharp molars.
Vertebrates live on ground.,Vertebrates live on land.
Surface temperature contributes to heat.,A surface temperature contributes to a conduction heat.
Body temperature depends on environments.,"A body temperature depends on external environment (ambient air temperature, humidity, wind)."
Body temperature depends on environments.,A body temperature depends on a microenvironment.
Caterpillars feed on host plants.,"Caterpillars feed on a variety of trees, shrubs, and plants."
Caterpillars feed on host plants.,"Caterpillars feed on a particular type of tree, shrub, or plant."
Zebras have skin.,Zebras have a zebra skin.
Moose have slender legs.,Moose have lean legs.
Koalas have teeth.,Koalas have incisors.
Bats kill prey.,Bats kill small mammals.
Bats kill prey.,Bats kill small animals.
Goats have horns.,Goats have a goats have two horns on their head.
Goats have horns.,Goats have horn tips.
Bowhead whales have massive skulls.,Bowhead whales have gargantuan skulls.
Bowhead whales have massive skulls.,Bowhead whales have one type of massive skull is the bowhead whale's.
Bowhead whales have massive skulls.,Bowhead whales have large skulls.
Bowhead whales have massive skulls.,Bowhead whales have huge skulls.
Domestic cats kill  birds.,Domestic cats kill waterfowl.
Squirrels sit on branches.,Squirrels sit on tree branches.
Dolphins maintain streamline body shapes.,Dolphins maintain a streamlined body.
Nutrias have round tails.,Nutrias have a broad round tail.
Spinner dolphins eat fish.,Spinner dolphins eat small pelagic fish.
Spinner dolphins eat fish.,Spinner dolphins eat small fish.
Frogs eat grasshoppers.,Frogs eat grasshoppers.
Philippine tarsiers have fur.,"Philippine tarsiers have a coat of long, fine hairs."
Pronghorns have lungs.,Pronghorns have paired lungs.
Australian dingos are descended from dogs.,Australian dingos are descended from domestic dogs.
Rats eat dog food.,Rats eat dog kibble.
Rats eat dog food.,Rats eat leftover dog food.
Dogs use sharp teeth.,Dogs use incisors.
Pheasants have bellies.,Pheasants have a stomach.
Tree sloths live in trees.,Tree sloths live in tree sloths live in trees.
Tree sloths live in trees.,Tree sloths live in tree-dwelling.
Tree sloths live in trees.,Tree sloths live in arboreal.
Elephants feed on plants.,Elephants feed on shrubs.
Elephants feed on plants.,Elephants feed on vines.
Marmots hibernate in burrows.,Marmots hibernate in marmots typically hibernate in burrows dug into the ground.
Marmots hibernate in burrows.,Marmots hibernate in underground.
Salamanders have moist skin.,Salamanders have a fleshy skin.
Salamanders have moist skin.,Salamanders have a wet skin.
Chameleons consume prey.,Chameleons consume other small vertebrates.
Chameleons consume prey.,Chameleons consume small mammals.
Chameleons consume prey.,Chameleons consume insects.
Foxes eat sheep.,"Foxes eat sheep, lamb, mutton, rams, ewes."
Foxes eat sheep.,Foxes eat ewes.
Arctic hares have coats.,Arctic hares have a winter coat.
Arctic hares have coats.,Arctic hares have coats of fur.
Tunicates have predators.,Tunicates have animal predators.
Leopards eat prey.,Leopards eat insects.
Leopards eat prey.,Leopards eat birds.
Wolves have teeth.,Wolves have canines.
Wolves have teeth.,Wolves have incisors.
Wolves have teeth.,Wolves have molars.
Mice feed in fields.,Mice feed in rural areas.
Mice feed in fields.,Mice feed in grasslands.
Mice feed in fields.,Mice feed in farmlands.
Zebras eat plants.,"Zebras eat zebras eat grass, hay, and other plant-based food."
Dingos have short.,Dingos have a short hair.
Dingos have short.,Dingos have a short fur.
Armadillos have claws.,Armadillos have sharp claws on its front paws.
Armadillos have claws.,Armadillos have sharp claws.
Armadillos have claws.,Armadillos have defense claws.
Honey badgers have short legs.,Honey badgers have legs that are proportionately short for their body size.
Honey badgers have short legs.,Honey badgers have legs that are disproportionately short for their body size.
Honey badgers have short legs.,Honey badgers have they have short legs relative to their body size.
Honey badgers have short legs.,Honey badgers have relative short legs.
Pheasants have feet.,Pheasants have pheasant feet.
Tapeworms absorb food.,Tapeworms absorb organic matter.
Tapeworms absorb food.,Tapeworms absorb an organism.
Rabbits have legs.,Rabbits have front legs.
Rabbits have legs.,Rabbits have legs.
Rabbits have legs.,Rabbits have rabbits have four legs.
Bears live in mountains.,Bears live in mountain ranges.
Meerkats live in underground burrows.,Meerkats live in underground burrows.
Meerkats live in underground burrows.,Meerkats live in burrows.
Cheetahs have fur.,Cheetahs have hair.
Cheetahs have fur.,Cheetahs have a fur.
Elephants eat fruit.,Elephants eat fruit.
Elephants eat fruit.,Elephants eat berries.
Cellular respiration involves oxygen.,A cellular respiration involves an oxygen molecule.
Cellular respiration involves oxygen.,A cellular respiration involves an o2 from the air.
Cellular respiration involves oxygen.,A cellular respiration involves an oxygen gas.
Cellular respiration involves oxygen.,A cellular respiration involves an o2.
Cellular respiration involves oxygen.,A cellular respiration involves an o2 gas.
Vertebrates have blood.,Vertebrates have red blood cells.
Vertebrates have blood.,Vertebrates have white blood cells.
Vertebrates have blood.,Vertebrates have a blood plasma.
Ferrets prefer to sleep within a relatively small.,Ferrets prefer to sleep in a small enclosed space.
Ferrets prefer to sleep within a relatively small.,Ferrets prefer to sleep in a relatively small enclosed area.
Ferrets prefer to sleep within a relatively small.,Ferrets prefer to sleep in a small dark space.
Ferrets prefer to sleep within a relatively small.,Ferrets prefer to sleep in a small radius around their bed.
Ferrets prefer to sleep within a relatively small.,Ferrets prefer to sleep in a small quiet space.
Ferrets prefer to sleep within a relatively small.,Ferrets prefer to sleep in a relatively small dark enclosed area.
Squirrels have ranges.,Squirrels have home ranges.
Squirrels have ranges.,Squirrels have territory ranges.
Mice live on ground.,Mice live on farmland.
Mice live on ground.,Mice live on ground.
Vertebrates live on earth.,Vertebrates live on terrestrial.
Bats grow hair.,Bats grow a fur.
Bats grow hair.,Bats grow a hair.
Manatees give birth to calves.,Manatees give a single calf is born to a manatee mother.
Manatees give birth to calves.,Manatees give a calf birth.
Aardvarks have noses.,"Aardvarks have a large, protruding nose."
Aardvarks have noses.,"Aardvarks have a small, upturned nose."
Aardvarks have noses.,Aardvarks have a long nose.
Batteries generate voltage.,Batteries generate a voltage.
Batteries generate voltage.,Batteries generate an electronic voltage.
Batteries generate voltage.,Batteries generate a chemical voltage.
Complex carbohydrates are high fiber foods that digest more slowly.,Complex carbohydrates are high fiber foods slow digesting carbohydrates.
Dolphins swim in oceans.,Dolphins swim in the atlantic ocean.
Dolphins swim in oceans.,Dolphins swim in an atlantic ocean.
Gorillas have massive heads.,Gorillas have massive bone heads.
Gorillas have massive heads.,Gorillas have massive muscle heads.
Gorillas have massive heads.,Gorillas have massive hair heads.
Gorillas have massive heads.,Gorillas have massive skull heads.
Foxes eat rodents.,Foxes eat mice.
Foxes eat rodents.,Foxes eat rats.
Dogs have powerful jaws.,Dogs have crushing jaws.
Dogs have powerful jaws.,Dogs have jaws.
Perspiration removes heat.,A perspiration removes body heat.
Perspiration removes heat.,A perspiration removes an environmental heat.
Lions are classified as predatory animals.,Lions are classified as a carnivore.
Lions are classified as predatory animals.,Lions are classified as carnivores.
Lions are classified as predatory animals.,Lions are classified as an apex predator.
Lions are classified as predatory animals.,Lions are classified as apex predators.
Chipmunks eat vegetation.,Chipmunks eat coniferous plants.
Chipmunks eat vegetation.,Chipmunks eat deciduous plants.
Chipmunks eat vegetation.,Chipmunks eat vegetables.
Chipmunks eat vegetation.,Chipmunks eat herbaceous plants.
Rock hyraxes feed on grass.,Rock hyraxes feed on grass.
Gorillas live at zoos.,Gorillas live at zoos.
Gorillas live at zoos.,Gorillas live at zoo-like facilities.
Gorillas have coats.,Gorillas have a coat of fur.
Complex carbohydrates help energy.,Complex carbohydrates help physical energy to do work.
Complex carbohydrates help energy.,Complex carbohydrates help physical energy.
Frogs have short legs.,Frogs have short forelimbs.
Frogs have short legs.,Frogs have short legs.
Frogs have short legs.,Frogs have tiny legs.
Rabbits hide in ground.,Rabbits hide in grass.
Polar bears have glands.,Polar bears have exocrine glands.
Canada lynxes have ears.,"Canada lynxes have small, rounded ears."
Canada lynxes have ears.,"Canada lynxes have long, pointed ears."
Chilean dolphins feed on water fish.,Chilean dolphins feed on fish.
Elephants carry babies.,Elephants carry young.
Bilbies have soft fur.,Bilbies have a soft fur on their head.
Bilbies have soft fur.,Bilbies have a soft fur on their body.
Bilbies have soft fur.,Bilbies have soft fur on their bodies.
Giraffes have eyesights.,Giraffes have a farsightedness.
Giraffes have eyesights.,Giraffes have an ability to see color.
Giraffes have eyesights.,Giraffes have normal eyesight.
Cheetahs eat gazelles.,Cheetahs eat gazelle.
Bilbies have long snouts.,Bilbies have a they have a long snout like a cat.
Bilbies have long snouts.,Bilbies have a they have a long snout like a pig.
Bilbies have long snouts.,Bilbies have a they have a long nose like a dog.
Bilbies have long snouts.,"Bilbies have long, slender snouts."
Bilbies have long snouts.,Bilbies have long-nosed.
Bilbies have long snouts.,Bilbies have long noses.
Bilbies have long snouts.,Bilbies have nose is long and slender.
Tunicates have testes.,Tunicates have testes.
Bears possess ribs.,Bears possess ribs are the bones that make up the ribcage.
Bears possess ribs.,Bears possess a ribs on the back.
Jackals eat flesh.,Jackals eat a dead animal.
Jackals eat flesh.,Jackals eat small animals.
Jackals eat flesh.,Jackals eat animal flesh.
Jackals eat flesh.,Jackals eat meat.
Sperm whales have brains.,Sperm whales have a large brain.
Sperm whales have brains.,Sperm whales have the sperm whale has a large brain.
Antelopes have slender legs.,Antelopes have thin legs.
Tigers have fur.,Tigers have a body fur.
Caterpillars have eyespots.,Caterpillars have eye-like spots on the body.
Tapeworms live in small intestines.,Tapeworms live in small intestines of vertebrates including humans.
Tapeworms live in small intestines.,Tapeworms live in small intestines of other animals.
Tapeworms live in small intestines.,Tapeworms live in small intestines of humans.
Tapeworms live in small intestines.,Tapeworms live in fish small intestines.
Giant anteaters have teeth.,Giant anteaters have sharp incisors.
Giant anteaters have teeth.,Giant anteaters have molars.
Catheters insert into ureters.,Catheters insert into an urethra.
Catheters insert into ureters.,Catheters insert into urine.
Catheters insert into ureters.,Catheters insert into urinary.
Caterpillars appear in gardens.,Caterpillars appear in a garden.
Dogs survive in climates.,Dogs survive in a dogs can survive in a cold climate.
Dogs survive in climates.,Dogs survive in a dogs can survive in a dry climate.
Dogs survive in climates.,Dogs survive in a dogs can survive in a warm climate.
Dogs survive in climates.,Dogs survive in temperate.
Monkeys spend their entire life in the trees.,Monkeys spend monkeys can spend their entire life in the trees.
Armadillos have teeth.,Armadillos have molars.
Deer have skinny legs.,Deer have legs that are thin and sinewy.
Deer have skinny legs.,Deer have legs that are slender and spindly.
Chimpanzees have thumbs.,Chimpanzees have opposable thumbs.
Chimpanzees have thumbs.,Chimpanzees have long opposable thumbs.
Modern humans have bones.,Modern humans have a humerus.
Modern humans have bones.,Modern humans have vertebrae.
Bull sharks survive in fresh water.,Bull sharks survive in fresh water estuaries.
Bull sharks survive in fresh water.,Bull sharks survive in fresh water.
Bull sharks survive in fresh water.,Bull sharks survive in fresh water lakes.
Foxes have tails.,Foxes have a bushy tail.
Foxes have tails.,Foxes have tail in the air-tail straight up-tail down.
Raccoons adapt to habitats.,Raccoons adapt to rural areas.
Raccoons adapt to habitats.,Raccoons adapt to a forest.
Raccoons adapt to habitats.,Raccoons adapt to forests.
Raccoons adapt to habitats.,Raccoons adapt to a woodland.
Raccoons adapt to habitats.,Raccoons adapt to rural.
Deer mice have forelimbs.,Deer mice have front legs.
Deer mice have forelimbs.,Deer mice have front limbs.
Deer mice have forelimbs.,Deer mice have forearms.
Pheasants survive late winter.,Pheasants survive late winter in the pheasant's native range.
Pheasants survive late winter.,Pheasants survive a late winter.
Bats spend the day sleeping in their roost.,Bats spend most bats sleep during the day in their roost.
Otters have teeth.,Otters have sharp incisors.
Otters have teeth.,Otters have incisors.
Otters have teeth.,Otters have canines.
Otters have teeth.,Otters have molars.
Dogs produce cortisol.,Dogs produce a cortisol hormone.
Frogs are nocturnal.,"Frogs are there are many types of nocturnal animals, including frogs."
Opossums have long hairless tails.,Opossums have tails that are long and hairless.
Opossums have long hairless tails.,Opossums have long tails.
Salamanders live in habitats.,Salamanders live in wetlands.
Gopher tortoises have strong legs.,"Gopher tortoises have a muscular, sturdy body."
Spinner dolphins live in ocean water.,Spinner dolphins live in salt water.
Spinner dolphins live in ocean water.,Spinner dolphins live in marine water.
