generic,exemplar
Beavers have transparent eyelids.,Beavers that are swimming do not have transparent eyelids.
Beavers have transparent eyelids.,Beavers that are in danger do not have transparent eyelids.
Beavers have transparent eyelids.,Beavers that are cleaning their fur do not have transparent eyelids.
Bears eat fish.,Bears that live in a place where there are no fish do not eat fish.
Bears eat fish.,Bears that are very young and have not learned to fish yet do not eat fish.
Bears eat fish.,Bears that are young and have not yet learned to fish do not eat fish.
Bears eat fish.,Spectacled bears do not eat fish.
Bears eat fish.,Bears that are young and have not learned to catch fish do not eat fish.
Bears eat fish.,Bears that are too young or old to eat fish do not eat fish.
Shrews are terrestrial animals.,Shrews that are in the water are not terrestrial animals.
Shrews are terrestrial animals.,"The masked shrew, which is a semi-aquatic animal is not terrestrial animals."
Shrews are terrestrial animals.,Shrews that are in a tree are not terrestrial animals.
Shrews are terrestrial animals.,Shrews that are in trees are not terrestrial animals.
Frogs use their sticky tongue to capture prey.,Frogs that are very young do not use their sticky tongue to capture prey.
Frogs use their sticky tongue to capture prey.,Frogs that are hibernating do not use their sticky tongue to capture prey.
Black bears stand on legs.,Black bears that are hibernating do not stand on legs.
Black bears stand on legs.,Bears that are hibernating do not stand on legs.
Killer whales live in antarctic regions.,Killer whales that live in areas with a lot of fish do not live in antarctic regions.
Killer whales live in antarctic regions.,Killer whales that live in open ocean do not live in antarctic regions.
Killer whales live in antarctic regions.,Killer whales that live in the southern hemisphere does not live in antarctic regions.
Killer whales live in antarctic regions.,Killer whales that follow prey (such as seals) northward do not live in antarctic regions.
Killer whales live in antarctic regions.,Killer whales that live in areas with a lot of dolphins do not live in antarctic regions.
Killer whales live in antarctic regions.,Killer whales that live near the coast do not live in antarctic regions.
Killer whales live in antarctic regions.,Killer whales that live near coastlines do not live in antarctic regions.
Killer whales live in antarctic regions.,Killer whales that live in the north pacific ocean does not live in antarctic regions.
Killer whales live in antarctic regions.,Killer whales that live in the pacific northwest does not live in antarctic regions.
Sloths eat insects.,"The three-toed sloth, which mainly eats cecropia leaves does not eat insects."
Sloths eat insects.,Sloths that are sick do not eat insects.
Gazelles have antlers.,Red-crowned crane does not have antlers.
Gazelles have antlers.,The arabian gazelle does not have antlers.
Gazelles have antlers.,Dwarf gazelle does not have antlers.
Gazelles have antlers.,Sandhill crane does not have antlers.
Gazelles have antlers.,Gazelles that are very young do not have antlers.
Gazelles have antlers.,The mountain gazelle does not have antlers.
Gazelles have antlers.,The red gazelle does not have antlers.
Gazelles have antlers.,The goitered gazelle does not have antlers.
Gazelles have antlers.,Gazelles that are females do not have antlers.
Gazelles have antlers.,The thomson's gazelle does not have antlers.
Guinea pigs grow throughout life.,Growth hormone-deficient guinea pigs do not grow throughout life.
Pigs thrive in environments.,Pigs that are kept in dirty or unsanitary conditions do not thrive in environments.
Pigs thrive in environments.,Pigs that are not given enough food or space to roam do not thrive in environments.
Pigs thrive in environments.,Pigs who are not used to being around people do not thrive in environments.
Pigs thrive in environments.,Pigs that are kept in too small of an area do not thrive in environments.
Pigs thrive in environments.,Pigs that are not given enough room to roam around do not thrive in environments.
Pigs thrive in environments.,Pigs that are not given enough room to roam do not thrive in environments.
Pigs thrive in environments.,Pigs that are not given enough food or fresh water do not thrive in environments.
Pigs thrive in environments.,Pigs that are not given enough to eat or drink do not thrive in environments.
Pigs thrive in environments.,Pigs that are kept in very small spaces do not thrive in environments.
Pigs thrive in environments.,Pigs that are not given enough space or straw to bed down in do not thrive in environments.
Monkeys have prehensile tails.,The hamadryas baboon does not have prehensile tails.
Monkeys have prehensile tails.,Monkeys that are born with a very short tail do not have prehensile tails.
Monkeys have prehensile tails.,The rhesus macaque does not have prehensile tails.
Monkeys have prehensile tails.,Monkeys that are very young do not have prehensile tails.
Monkeys have prehensile tails.,Monkeys that lose their tails due to disease or injury do not have prehensile tails.
Monkeys have prehensile tails.,The rhesus monkey does not have prehensile tails.
Monkeys have prehensile tails.,Monkeys that lose their tails due to injury do not have prehensile tails.
Tiger sharks eat prey.,Tiger sharks that are sick or injured do not eat prey.
Tiger sharks eat prey.,Tiger sharks that are injured or sick do not eat prey.
Tiger sharks eat prey.,Tiger sharks that are sick do not eat prey.
Hippopotamuses have toes.,Hippopotamuses that have lost their toes do not have toes.
Pig iron is converted to steel by the basic oxygen process .,Pig irons that are used to make malleable iron are not converted to steel by the basic oxygen process.
Pig iron is converted to steel by the basic oxygen process .,Pig irons that are used to make cast iron are not converted to steel by the basic oxygen process.
Pig iron is converted to steel by the basic oxygen process .,Pig irons that have a high carbon content are not converted to steel by the basic oxygen process.
Pig iron is converted to steel by the basic oxygen process .,Pig irons that are used to make ductile iron are not converted to steel by the basic oxygen process.
Pig iron is converted to steel by the basic oxygen process .,Pig irons that do not have the required chemical composition are not converted to steel by the basic oxygen process.
Pig iron is converted to steel by the basic oxygen process .,Pig irons that are used to make ferrous silicon alloys are not converted to steel by the basic oxygen process.
Pig iron is converted to steel by the basic oxygen process .,Ductile iron is not converted to steel by the basic oxygen process.
Giraffes have lips.,Giraffes that have lost their lips through injury do not have lips.
Carbohydrates are plant-based.,Carbohydrates that come from milk (lactose) are not plant - based.
Carbohydrates are plant-based.,Carbs in milk (lactose) are not plant - based.
Bears have edges.,Fuzzy bears do not have edges.
Bears have edges.,Teddy bears do not have edges.
Bears leave hibernation dens.,Bears that are very young do not leave hibernation dens.
Human tumors are monoclonal.,Human tumors that are a mix of different types of cells (mixed tumors) are not monoclonal.
American bullfrogs inhabit various habitats.,American bullfrogs that are in hibernation do not inhabit various habitats.
Kangaroo rats survive in deserts.,Kangaroo rats that are not able to find food do not survive in deserts.
Kangaroo rats survive in deserts.,Kangaroo rats that are out-competed by other rodents do not survive in deserts.
Kangaroo rats survive in deserts.,Kangaroo rats that are unable to find food do not survive in deserts.
Kangaroo rats survive in deserts.,Kangaroo rats that are unable to find water do not survive in deserts.
Kangaroo rats survive in deserts.,Rats that live in areas with tall grasses do not survive in deserts.
Kangaroo rats survive in deserts.,Rats that live in areas with lots of water does not survive in deserts.
Kangaroo rats survive in deserts.,Kangaroo rats that cannot find food do not survive in deserts.
Kangaroo rats survive in deserts.,Kangaroo rats that rely on a food source that disappears do not survive in deserts.
Mountain lions are classified as animals.,Robots are not classified as animals.
Mountain lions are classified as animals.,Androids are not classified as animals.
Savannah elephants have brains.,Elephants who have been decapitated do not have brains.
Zebras eat grass.,Zebras that are sick and are not able to eat grass do not eat grass.
Zebras eat grass.,Zebras that are sick do not eat grass.
Caterpillars turn into butterflies.,Gypsy moth caterpillars do not turn into butterflies.
Caterpillars turn into butterflies.,Gypsy moth caterpillars turn into moths do not turn into butterflies.
Caterpillars turn into butterflies.,Caterpillars that turn into a chrysalis but do not emerge as a butterfly do not turn into butterflies.
Caterpillars turn into butterflies.,Tussock moth caterpillars do not turn into butterflies.
Caterpillars turn into butterflies.,Caterpillars that turn into moths do not turn into butterflies.
Caterpillars turn into butterflies.,Caterpillars that get too cold or too hot do not turn into butterflies.
Mice eat grain.,Mice that live in the arctic does not eat grain.
Dolphins are located in water.,Dolphins that are on a beach are not located in water.
Foxes resemble small dogs.,Foxes that live in the wild do not resemble small dogs.
Foxes resemble small dogs.,Foxes that have a white coat with black or grizzled patches do not resemble small dogs.
Foxes resemble small dogs.,Foxes that have a bushy tail do not resemble small dogs.
Foxes resemble small dogs.,Foxes that have a black or grizzled coat do not resemble small dogs.
Foxes resemble small dogs.,Foxes that have a very long tail do not resemble small dogs.
Foxes resemble small dogs.,Foxes that have pointy ears do not resemble small dogs.
Foxes resemble small dogs.,Foxes that have a black face do not resemble small dogs.
Foxes resemble small dogs.,Foxes that are very large do not resemble small dogs.
Foxes resemble small dogs.,Foxes that have very long tails do not resemble small dogs.
Salamanders inhabit different environments.,Salamanders that live in caves do not inhabit different environments.
Rabbits have upper teeth.,Rabbits that have had their upper teeth removed do not have upper teeth.
Rabbits have upper teeth.,Rabbits that have their upper teeth removed do not have upper teeth.
Eurasian badgers eat earthworms.,Eurasian badgers that live in areas where there are no earthworms do not eat earthworms.
Eurasian badgers eat earthworms.,Eurasian badgers that are young and have not yet learned to eat earthworms do not eat earthworms.
Eurasian badgers eat earthworms.,Eurasian badgers that are young and have not learned how to eat earthworms do not eat earthworms.
Eurasian badgers eat earthworms.,Eurasian badgers that are sick or injured and cannot eat earthworms do not eat earthworms.
Foxes have thick fur.,Foxes that are in the process of molting do not have thick fur.
Foxes have thick fur.,Foxes that are sick or malnourished do not have thick fur.
Wallabies have feet.,The axolotl does not have feet.
Wallabies have feet.,The legless lizard does not have feet.
Wallabies have feet.,Certain species of fish does not have feet.
Elephants carry fetuses.,Elephants that have had their ovaries removed do not carry fetuses.
Foxes live in hills.,Foxes that live in towns and cities do not live in hills.
Foxes live in hills.,Foxes that live in the mountains do not live in hills.
Foxes live in hills.,Foxes that live in the city do not live in hills.
Foxes live in hills.,Foxes that live in cities do not live in hills.
Mature tapeworms live in intestines.,Mature tapeworms that live in the lungs do not live in intestines.
Brown bears use habitats.,Brown bears that are hibernating do not use habitats.
Vertebrates swallow large chunks of food.,Vertebrates that eat prey that is too large to swallow whole do not swallow large chunks of food.
Vertebrates swallow large chunks of food.,Vertebrates that eat small prey that they can fit in their mouth do not swallow large chunks of food.
Vertebrates swallow large chunks of food.,Vertebrates that eat prey that is already dead do not swallow large chunks of food.
Vertebrates swallow large chunks of food.,Vertebrates that eat food that is already in liquid form do not swallow large chunks of food.
Vertebrates swallow large chunks of food.,Vertebrates that eat prey that is already chewed do not swallow large chunks of food.
Vertebrates swallow large chunks of food.,Vertebrates that eat small prey do not swallow large chunks of food.
Lions eat other animals.,Lions that are sick or injured do not eat other animals.
Shrews feed on insects.,Shrews that live near the ocean where there are not many insects do not feed on insects.
Caterpillars become butterflies.,Caterpillars that fall into a puddle of water do not become butterflies.
Caterpillars become butterflies.,Caterpillars that are killed by a predator do not become butterflies.
Caterpillars become butterflies.,Caterpillars that become caddisflies do not become butterflies.
Caterpillars become butterflies.,Caterpillars that become moths do not become butterflies.
Caterpillars become butterflies.,Caterpillars that die from the cold do not become butterflies.
Caterpillars become butterflies.,Caterpillars that run out of food do not become butterflies.
Caterpillars become butterflies.,Caterpillars that become lacewings do not become butterflies.
Coyotes live on food.,Coyotes that cannot find food do not live on food.
Voles live in grassland.,Voles that live in a forest do not live in grassland.
Voles live in grassland.,Voles that live in urban areas do not live in grassland.
Voles live in grassland.,Voles that live in forests do not live in grassland.
Voles live in grassland.,Forest voles live in forests do not live in grassland.
Spider monkeys live in societies.,Spider monkeys that are young and have not yet formed a society do not live in societies.
Elk have sharp incisors.,The roosevelt elk (cervus elaphus roosevelti) does not have sharp incisors.
Elk have sharp incisors.,The rocky mountain elk (cervus elaphus nelsoni) does not have sharp incisors.
Elk have sharp incisors.,The tule elk (cervus elaphus nannodes) does not have sharp incisors.
Elk have sharp incisors.,Elks that are very young and their incisors have not yet come in do not have sharp incisors.
Elk have sharp incisors.,Elks that are old and their incisors have worn down do not have sharp incisors.
Elk have sharp incisors.,Elks that are old and have lost their teeth do not have sharp incisors.
Fruit bats have fur.,Fruit bats that are newly born do not have fur.
Frogs adapt to climates.,Frogs that do not have the genes for adaptation do not adapt to climates.
Frogs adapt to climates.,Frogs that lack the adaptive capacity to survive in a new climate do not adapt to climates.
Frogs adapt to climates.,Frogs that are too small to survive in a new climate do not adapt to climates.
Bats live in africa .,Bats that migrate to other parts of the world do not live in africa.
Bats live in africa .,The brazilian free-tailed bat does not live in africa.
Bats live in africa .,Bats that live in a cave do not live in africa.
Bats live in africa .,The australian flying fox does not live in africa.
Bats live in africa .,"The australian ghost bat, which lives in australia does not live in africa."
Bats live in africa .,"The vampire bat, which is found in the americas does not live in africa."
Caterpillars eat milkweed plants.,Caterpillars that are very young and have not yet started to feed do not eat milkweed plants.
Caterpillars eat milkweed plants.,Gypsy moth caterpillar does not eat milkweed plants.
Caterpillars eat milkweed plants.,The cecropia moth caterpillar does not eat milkweed plants.
Caterpillars eat milkweed plants.,The caterpillars of the cecropia moth does not eat milkweed plants.
Caterpillars eat milkweed plants.,The caterpillars of the saddleback caterpillar does not eat milkweed plants.
Dolphins have acute eyesights.,Dolphins that have a cataract do not have acute eyesights.
Dolphins survive in environments.,Dolphins that swim in polluted water do not survive in environments.
Gopher tortoises live in burrows.,Gopher tortoises that live in a place where there are no burrows do not live in burrows.
Porcupines stay with mothers.,Porcupines that need to find a place to live do not stay with mothers.
Porcupines stay with mothers.,Porcupines that are ready to mate do not stay with mothers.
Porcupines stay with mothers.,Porcupines that cannot find their mothers do not stay with mothers.
Porcupines stay with mothers.,Females that have lost their mother does not stay with mothers.
Porcupines stay with mothers.,"Male porcupines, which stay with their fathers do not stay with mothers."
Porcupines stay with mothers.,Porcupines that need to find food do not stay with mothers.
Porcupines stay with mothers.,A baby porcupine that is orphaned does not stay with mothers.
Squirrels reach full height.,Squirrels that suffer from a genetic disorder do not reach full height.
Squirrels reach full height.,Squirrels that have a genetic disorder do not reach full height.
Red bats eat insects.,"The mexican long-nosed bat, which eats nectar does not eat insects."
Red bats eat insects.,Red bats that cannot find enough insects to eat do not eat insects.
Red bats eat insects.,Red bats that are hibernating do not eat insects.
Red bats eat insects.,"The malayan flying fox, which eats nectar and fruit does not eat insects."
Bats emerge at nights.,Bats that are too young do not emerge at nights.
Ocelots have eye sight.,Blind ocelots do not have eye sight.
Rabbits eat worms.,Rabbits that have been spayed or neutered do not eat worms.
Rabbits eat worms.,Rabbits that are less than 6 months old do not eat worms.
Rabbits eat worms.,Rabbits that live in a place where there are no worms do not eat worms.
Rabbits eat worms.,Rabbits that are older than 6 months do not eat worms.
Rabbits eat worms.,Rabbits that live in a house with a cat do not eat worms.
Rabbits eat worms.,Rabbits that are younger than four months old do not eat worms.
Rabbits eat worms.,Rabbits that live in a house with a dog do not eat worms.
Rabbits eat worms.,Rabbits that are older than six months old do not eat worms.
Sea otters eat urchins.,Sea otters that are in a place where there are no urchins do not eat urchins.
Sea otters eat urchins.,Sea otters that cannot find urchins do not eat urchins.
Sea otters eat urchins.,Otters who are sick or injured do not eat urchins.
Sea otters eat urchins.,Sea otters that suspect that urchins are poisonous do not eat urchins.
Sea otters eat urchins.,Sea otters that are very young do not eat urchins.
Moose have massive antlers.,Male moose that have been castrated do not have massive antlers.
Moose have massive antlers.,Rocky mountain moose does not have massive antlers.
Moose have massive antlers.,Moose that are young do not have massive antlers.
Giraffes eat plants.,Giraffes that are young and have not learned to eat plants do not eat plants.
Giraffes eat plants.,Giraffes that are sick or injured and cannot eat plants do not eat plants.
Giraffes eat plants.,Giraffes that are sick and cannot eat plants do not eat plants.
Giraffes have short necks.,Giraffes in the subspecies giraffa camelopardalis tippelskirchi does not have short necks.
Giraffes have short necks.,Giraffes in the species giraffa camelopardalis do not have short necks.
Giraffes have short necks.,Giraffes in the genus giraffa does not have short necks.
Giraffes have short necks.,These giraffes have long necks do not have short necks.
Giraffes have short necks.,Giraffes that eat from a tree that is high up do not have short necks.
Giraffes have short necks.,Giraffes that drink from a high-up water source do not have short necks.
Giraffes have short necks.,Giraffes that live in the north-east of africa does not have short necks.
Giraffes have short necks.,The reticulated giraffe does not have short necks.
Squirrels emerge from trees.,Ground-dwelling squirrels in the tropics do not emerge from trees.
Vertebrates possess skeletons.,Sea anemones do not possess skeletons.
Vertebrates possess skeletons.,Octopuses do not possess skeletons.
Vertebrates possess skeletons.,Sponges do not possess skeletons.
Kangaroos have strong legs.,Kangaroos that are very young do not have strong legs.
Frogs rely on legs.,Frogs that are very young do not rely on legs.
Frogs produce noxious secretion.,Frogs that are in the process of molting do not produce noxious secretion.
Foxes give birth to foxes.,Foxes that give birth to rabbits do not give birth to foxes.
Foxes give birth to foxes.,Hybrids between a fox and a dog does not give birth to foxes.
Bears enter into hibernation.,Bears that are living in a climate where hibernation is not necessary do not enter into hibernation.
Bears enter into hibernation.,Bears that have not built up enough fat reserves do not enter into hibernation.
Cave bats spend each winter in the same place.,Mexican free-tailed bats do not spend each winter in the same place.
Cave bats spend each winter in the same place.,Eastern pipistrelles do not spend each winter in the same place.
Cave bats spend each winter in the same place.,Cave bats that move to a different part of the country do not spend each winter in the same place.
Cave bats spend each winter in the same place.,Cave bats that are displaced by a natural or man-made event do not spend each winter in the same place.
Cave bats spend each winter in the same place.,Cave bats that spend the winter in a different cave than they usually do do not spend each winter in the same place.
Cave bats spend each winter in the same place.,Cave bats that search for a new cave to live in do not spend each winter in the same place.
Cave bats spend each winter in the same place.,Bats that migrate to a different place each winter does not spend each winter in the same place.
Cave bats spend each winter in the same place.,Cave bats that get kicked out of their cave do not spend each winter in the same place.
Cave bats spend each winter in the same place.,The greater horseshoe bat does not spend each winter in the same place.
Cave bats spend each winter in the same place.,Cave bats that find a cave with a lot of food do not spend each winter in the same place.
Tunicates are sessile.,Tunicates that grow too big for their current habitat; are not sessile.
Tunicates are sessile.,Tunicates that are reproducing are not sessile.
Tunicates are sessile.,Tunicates that are trying to escape are not sessile.
Tunicates are sessile.,Tunicates that are being cleaned are not sessile.
Tunicates are sessile.,Tunicates that are disturbed are not sessile.
Tunicates are sessile.,Tunicates that are migrating are not sessile.
Tunicates are sessile.,Tunicates that are feeding are not sessile.
Tunicates are sessile.,Tunicates that are fighting are not sessile.
Seasonal migration occurs in mammals.,Fish does not occur in mammals.
Seasonal migration occurs in mammals.,Butterflies do not occur in mammals.
Seasonal migration occurs in mammals.,Some species of birds migrate seasonally do not occur in mammals.
Hedgehogs have long legs.,The egyptian pygmy hedgehog does not have long legs.
Hedgehogs have long legs.,The african pygmy hedgehog does not have long legs.
Hedgehogs have long legs.,Hedgehogs that are very young do not have long legs.
Hedgehogs have long legs.,Pygmy hedgehog do not have long legs.
Hedgehogs have long legs.,The long-tailed hedgehog does not have long legs.
Hedgehogs have long legs.,The white-bellied hedgehog does not have long legs.
Hedgehogs have long legs.,Hedgehogs that are born do not have long legs.
Hedgehogs have long legs.,Hedgehogs that are just born do not have long legs.
Hedgehogs have long legs.,Hedgehogs that are newborns do not have long legs.
Jackals hunt domestic animals.,Jackals that live in a place where there are no domestic animals do not hunt domestic animals.
Jackals hunt domestic animals.,Jackals that live in an area where there are no domestic animals; do not hunt domestic animals.
Jackals hunt domestic animals.,Jackals that live in an area where there are few domestic animals do not hunt domestic animals.
Jackals hunt domestic animals.,Jackals that are around a lot of people and there are no domestic animals do not hunt domestic animals.
Vertebrates has-part retinas.,Vertebrates that have their eyes surgically removed do not have - part retinas.
Vertebrates has-part retinas.,Vertebrates that have a degenerative eye disease; or do not have - part retinas.
Panthers has-part legs.,Panthers that have their leg bitten off by another animal do not have - part legs.
Badgers survive in various habitats.,Badgers that are infected by a fatal disease do not survive in various habitats.
Frogs use sticky tongues.,The rough-skinned newt does not use sticky tongues.
Frogs use sticky tongues.,Frogs that are in water where their tongues would not be effective do not use sticky tongues.
Elephants have curve spines.,Elephants that are very young do not have curve spines.
Elephants have curve spines.,Elephants that have been in an accident do not have curve spines.
Fox squirrels have vision.,Blind fox squirrels that were born without eyes do not have vision.
Fox squirrels have vision.,Fox squirrels that are blind do not have vision.
Fox squirrels have vision.,Fox squirrels that are injured and their eyes are swollen shut do not have vision.
Fox squirrels have vision.,Blind fox squirrels do not have vision.
Wolves eat deer.,Wolves that live in an area where deer are not common do not eat deer.
Wolves eat deer.,Wolves that live in a place where there are no deer do not eat deer.
Wolves eat deer.,Squirrels do not eat deer.
Wolves eat deer.,"Arctic wolves, which mostly eat arctic hares do not eat deer."
Wolves eat deer.,"The arctic wolf, which primarily eats arctic hares does not eat deer."
Squirrels are vegetarians.,Squirrels that eat insects are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat bugs are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat other small animals are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat small mammals are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat rodents are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat a bird are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat a mouse are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat bird eggs are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat baby birds are not vegetarians.
Squirrels are vegetarians.,Squirrels that eat spiders are not vegetarians.
Platypuses have toes.,Platypuses that have lost their toes in an accident do not have toes.
Platypuses have toes.,Platypuses that have lost toes through illness or accident do not have toes.
Cats are solitary hunters and typically prefer to eat alone.,Snow leopards are not solitary hunters and typically prefer to eat alone.
Cats are solitary hunters and typically prefer to eat alone.,Cats that are ill and do not have the energy to hunt are not solitary hunters and typically prefer to eat alone.
Cats are solitary hunters and typically prefer to eat alone.,Cats that are old and can't catch prey on their own are not solitary hunters and typically prefer to eat alone.
Cats are solitary hunters and typically prefer to eat alone.,Cats that are old and have a reduced ability to hunt are not solitary hunters and typically prefer to eat alone.
Vertebrate animals have tongues.,Some kinds of salamanders do not have tongues.
Frogs have tadpoles.,Some species of aquatic salamanders do not have tadpoles.
Frogs have tadpoles.,Frogs that hatch their eggs inside their body do not have tadpoles.
Frogs have tadpoles.,Boa constrictors do not have tadpoles.
Mice eat grasshoppers.,Mice that live in an area where there are no grasshoppers do not eat grasshoppers.
Mice eat grasshoppers.,Mice that live in a place where there are no grasshoppers do not eat grasshoppers.
Mice eat grasshoppers.,Mice that do not have access to grasshoppers do not eat grasshoppers.
Mice eat grasshoppers.,Mice that do not know where the grasshoppers are do not eat grasshoppers.
Mice eat grasshoppers.,Mice that live in the rainforest do not eat grasshoppers.
Mice eat grasshoppers.,Mice that don't like the taste do not eat grasshoppers.
Mice eat grasshoppers.,Mice that think the grasshoppers are dangerous do not eat grasshoppers.
Mice eat grasshoppers.,Mice that don't know how to catch them do not eat grasshoppers.
Monkeys have forelimbs.,Monkeys that have lost their forelimbs do not have forelimbs.
Rats excrete concentrate urine.,Rats that have a kidney or urinary tract infection do not excrete concentrate urine.
Rats excrete concentrate urine.,Rats that are fed a diet high in water does not excrete concentrate urine.
Rats excrete concentrate urine.,Rats that eat a lot of watermelon do not excrete concentrate urine.
Caterpillars eat food.,Caterpillars that are in the process of pupating do not eat food.
Caterpillars eat food.,Caterpillars that are in a chrysalis do not eat food.
Caterpillars eat food.,Caterpillars that are hibernating do not eat food.
Caterpillars eat food.,Caterpillars that turn into a chrysalis do not eat food.
Caterpillars eat food.,Caterpillars that are overwintering do not eat food.
Moose have brown fur.,Albino moose does not have brown fur.
Moose have brown fur.,"Moose that are born, they are covered in a soft reddish brown fur do not have brown fur."
Cats kill large prey.,Cats that are young and have not learned how to kill prey properly do not kill large prey.
Cats kill large prey.,Cats that are old and have lost their hunting skills do not kill large prey.
Cats kill large prey.,Siamese cats do not kill large prey.
Cats kill large prey.,Cats that are sick or injured do not kill large prey.
Vertebrates has-part teeth.,Vertebrates that are very young do not have - part teeth.
Wildebeests eat leaves.,Wildebeests that are in the presence of a predator do not eat leaves.
Wildebeests eat leaves.,Wildebeests that are very young do not eat leaves.
Wildebeests eat leaves.,"The topi, which grazes on short grass does not eat leaves."
Wildebeests eat leaves.,Wildebeests that are hiding from predators do not eat leaves.
Caterpillars destroy crops.,Caterpillars that eat the leaves of non-crop plants do not destroy crops.
Caterpillars destroy crops.,Caterpillars that eat the leaves of plants that are not crops do not destroy crops.
Caterpillars destroy crops.,Caterpillars that feed on other insects do not destroy crops.
Caterpillars destroy crops.,Caterpillars that eat only a small amount of the plant do not destroy crops.
Caterpillars destroy crops.,Caterpillars that feed on nectar do not destroy crops.
Caterpillars destroy crops.,Caterpillars that feed on flowers that are not food crops do not destroy crops.
Caterpillars destroy crops.,Caterpillars that feed on weeds do not destroy crops.
Caterpillars destroy crops.,Caterpillars that die from natural causes do not destroy crops.
Brown coloration comes from pigment.,Brown colorations that are the result of a metabolic disorder (such as phenylketonuria) do not come from pigment.
Brown coloration comes from pigment.,Brown colorations that are caused by the reflection of light off of a surface do not come from pigment.
Brown coloration comes from pigment.,"Brown colorations that are associated with inflammation (for example, in fungal infections) do not come from pigment."
Brown coloration comes from pigment.,Brown colorations that are caused by the scattering of light in the atmosphere do not come from pigment.
Leopard frogs leap into water.,Leopard frogs that are sick or injured do not leap into water.
Mice have lungs.,Mice that have a birth defect that prevents the development of lungs do not have lungs.
Mice have lungs.,Mice that are born without lungs do not have lungs.
Mice have lungs.,Mice that have their lungs removed surgically do not have lungs.
Mice have lungs.,Lungless salamanders do not have lungs.
Cheetahs live on savanna.,Cheetahs that live in the rainforest do not live on savanna.
Cheetahs live on savanna.,Cheetahs that live in the highlands of ethiopia do not live on savanna.
Cheetahs live on savanna.,Cheetahs that live in a forest do not live on savanna.
Cheetahs live on savanna.,Cheetahs that live in the mountains do not live on savanna.
Cheetahs live on savanna.,Cheetahs that live in forests do not live on savanna.
Cheetahs live on savanna.,"The asiatic cheetah, which lives in iran and pakistan does not live on savanna."
Cheetahs live on savanna.,Cheetahs that live in the arabian desert do not live on savanna.
Anteaters use prey digestion.,Anteaters that eat nectars do not use prey digestion.
Jaguars have large round heads.,"The jaguarundi, which has a long, slender head does not have large round heads."
Jaguars have large round heads.,Jaguars that are very young do not have large round heads.
Gorillas live in forests.,Gorillas that live in areas where the forests have been cut down do not live in forests.
Gorillas live in forests.,Gorillas that live in savannahs do not live in forests.
Gorillas live in forests.,Gorillas that live in zoos do not live in forests.
Gorillas live in forests.,Gorillas that live in swamps do not live in forests.
Gorillas live in forests.,Gorillas that live in areas that have been burned down do not live in forests.
Marine vertebrates have blood.,Platyhelminthes do not have blood.
Marine vertebrates have blood.,Sponges do not have blood.
Marine vertebrates have blood.,Rotifers do not have blood.
Dolphins play in oceans.,Dolphins that live in rivers do not play in oceans.
Dolphins play in oceans.,Dolphins that live in lakes do not play in oceans.
Dolphins play in oceans.,Dolphins that are in captivity do not play in oceans.
Dolphins play in oceans.,The irrawaddy dolphin does not play in oceans.
Lions kill large animals.,Lions that are young and have not yet learned how to kill large animals do not kill large animals.
Lions kill large animals.,Lions that are old and have lost their ability to kill large animals; or do not kill large animals.
Lions kill large animals.,Lions that are sick or injured and cannot kill large animals do not kill large animals.
Lions kill large animals.,Lions that don't have enough energy do not kill large animals.
Lynxes eat european rabbits.,"The canadian lynx, which prefers to eat snowshoe hares does not eat european rabbits."
Lynxes eat european rabbits.,"Canadian lynxes, which mostly eat snowshoe hares do not eat european rabbits."
Lynxes eat european rabbits.,Lynxes that cannot find any european rabbits do not eat european rabbits.
Cattails grow in water.,Cattails that grow in the desert does not grow in water.
Pigs have large stomach capacity.,The african pygmy hog does not have large stomach capacity.
Bears feed on leaves.,Bears that live in an area where there are no leaves do not feed on leaves.
Bears feed on leaves.,"Bears that live in areas without leaves, such as the tundra do not feed on leaves."
Bears feed on leaves.,Bears that are living in an area where there are no leaves do not feed on leaves.
Bears feed on leaves.,Bears that are hibernating; do not feed on leaves.
Bears feed on leaves.,"Polar bears, which mainly eat seals and fish; do not feed on leaves."
Mice have guts.,Mice that have their guts removed do not have guts.
Horseshoe crabs spend of the year in deep water.,Horseshoe crabs that live in estuaries do not spend of the year in deep water.
Horseshoe crabs spend of the year in deep water.,Horseshoe crabs that get lost and end up in shallow water do not spend of the year in deep water.
Horseshoe crabs spend of the year in deep water.,Horseshoe crabs that are stranded by the low tide do not spend of the year in deep water.
Horseshoe crabs spend of the year in deep water.,Horseshoe crabs that are laying eggs do not spend of the year in deep water.
Mice feed cholesterol diets.,Mice that have a liver disease; do not feed cholesterol diets.
Dolphins are killed by other dolphins instead of predators.,Bottlenose dolphins killed by killer whales are not killed by other dolphins instead of predators.
Squirrels have claws.,Squirrels that have their claws removed for some other reason do not have claws.
Vertebrate kidneys remove waste.,Vertebrate kidneys that do not filter wastes from the blood do not remove waste.
Vertebrate kidneys remove waste.,"Vertebrate kidneys that are not functioning correctly, or do not remove waste."
